Variety;Treatment;Id;Plant;Leaf;Date;Time;Fm.;PAR;Temp;Y..II.;ETR;SPAD;alpha;ETRm;Ik
V4;C;3;C_V4_3;9;07/10/2020;09:09:21;1386;128;30.9;0.539;29;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:11:21;735;1181;32.5;0.102;50.6;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:09:41;1193;195;30.9;0.459;37.6;25.8;0.252;49.88;197.699
V4;C;3;C_V4_3;9;07/10/2020;09:10:21;906;432;31.4;0.268;48.6;25.8;0.252;49.88;197.699
V4;C;4;C_V4_4;9;08/10/2020;09:05:27;1231;195;31.2;0.403;33;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:05:07;1431;128;31.1;0.503;27;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:07:07;780;1183;32.4;0.081;40.2;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:06:07;958;432;31.5;0.225;40.8;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:06:27;882;647;31.7;0.153;41.6;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:06:47;826;845;31.9;0.121;42.9;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:05:47;1072;293;31.4;0.307;37.8;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:07:26;746;1543;32.9;0.059;38.2;35.2;0.245;40.714;166.288
V4;C;4;C_V4_4;9;08/10/2020;09:04:47;1601;0;30.9;0.678;0;35.2;0.245;40.714;166.288
V4;C;7;C_V4_7;9;06/10/2020;08:50:01;1453;191;27.8;0.403;32.3;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:52:00;1067;1510;28.6;0.066;41.9;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:51:20;1199;828;28.1;0.125;43.5;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:49:41;1576;125;27.8;0.489;25.7;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:50:21;1367;287;27.8;0.313;37.7;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:51:40;1131;1158;28.3;0.089;43.3;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:51:01;1264;633;28;0.159;42.3;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:49:21;1602;0;28.2;0.666;0;36.6;0.226;42.557;188.468
V4;C;7;C_V4_7;9;06/10/2020;08:50:41;1303;422;27.8;0.233;41.3;36.6;0.226;42.557;188.468
V4;C;8;C_V4_8;9;07/10/2020;09:06:30;816;430;30.9;0.31;56;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:05:50;1114;195;30.6;0.475;38.9;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:05:30;1273;128;30.6;0.526;28.3;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:05:10;1210;0;30.6;0.603;0;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:06:10;935;292;30.9;0.395;48.4;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:07:30;655;1178;31.9;0.108;53.4;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:07:50;634;1537;32.2;0.079;51;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:06:50;729;644;31.2;0.203;54.9;31.8;0.256;54.481;213.007
V4;C;8;C_V4_8;9;07/10/2020;09:07:10;686;842;31.4;0.157;55.5;31.8;0.256;54.481;213.007
V4;C;9;C_V4_9;9;08/10/2020;09:02:06;945;432;30.6;0.255;46.3;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:00:46;1521;0;30.7;0.669;0;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:02:26;887;646;30.9;0.177;48;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:03:26;767;1540;32.5;0.066;42.7;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:03:06;799;1181;31.9;0.093;46.1;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:02:46;838;844;31.4;0.136;48.2;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:01:26;1188;195;30.8;0.437;35.8;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:01:46;1037;292;30.7;0.339;41.6;34;0.247;46.33;187.564
V4;C;9;C_V4_9;9;08/10/2020;09:01:06;1382;128;30.8;0.519;27.9;34;0.247;46.33;187.564
V4;S-AF;2;D_V4_2;9;06/10/2020;10:05:41;1271;847;29.6;0.113;40.2;39.7;0.206;38.998;188.998
V4;S-AF;2;D_V4_2;9;06/10/2020;10:04:41;1353;294;29.1;0.276;34.1;39.7;0.206;38.998;188.998
V4;S-AF;2;D_V4_2;9;06/10/2020;10:05:21;1320;648;29.4;0.137;37.3;39.7;0.206;38.998;188.998
V4;S-AF;2;D_V4_2;9;06/10/2020;10:04:21;1396;196;29.1;0.362;29.8;39.7;0.206;38.998;188.998
